"Site","Date","Duration","Snapshot","4" Line Current Flow (gal/min)","4" Line FT Head (ft)","4" Line Pressure (psi)","Power Monitor A Current Average (A)","Power Monitor A Total Active Power (W)","Power Monitor A Total Apparent Power (W)","Power Monitor A Total Reactive Power (W)"
"Test Pit","8/21 9:54:56 am (CDT)","00 : 00","false","388.12","5.4","2.33","24","0","20.57","0"
"Test Pit","8/21 9:54:56 am (CDT)","00 : 00","false","387.28","5.58","2.41","24","0","20.57","0"
"Test Pit","8/21 9:54:57 am (CDT)","00 : 01","false","388.19","5.23","2.26","24","0","20.57","0"
"Test Pit","8/21 9:54:58 am (CDT)","00 : 02","false","388.69","5.49","2.38","24","0","20.57","0"
"Test Pit","8/21 9:54:59 am (CDT)","00 : 03","false","389.46","5.27","2.28","24","0","20.57","0"
"Test Pit","8/21 9:55:01 am (CDT)","00 : 04","false","388.69","5.88","2.54","24","0","20.37","0"
"Test Pit","8/21 9:55:02 am (CDT)","00 : 05","false","390.16","5.58","2.41","24","0","20.37","0"
"Test Pit","8/21 9:55:03 am (CDT)","00 : 06","false","387.63","5.71","2.47","24","0","20.37","0"
"Test Pit","8/21 9:55:05 am (CDT)","00 : 08","false","388.9","5.66","2.45","24","0","20.37","0"
"Test Pit","8/21 9:55:05 am (CDT)","00 : 08","false","387.49","5.49","2.38","24","0","20.37","0"
"Test Pit","8/21 9:55:06 am (CDT)","00 : 09","false","386.65","5.88","2.54","24","0","20.37","0"
"Test Pit","8/21 9:55:07 am (CDT)","00 : 10","false","389.6","5.45","2.36","24","0","20.37","0"
"Test Pit","8/21 9:55:08 am (CDT)","00 : 12","false","386.58","5.93","2.56","24","0","20.37","0"
"Test Pit","8/21 9:55:09 am (CDT)","00 : 13","false","389.1","5.27","2.28","24","0","20.37","0"
"Test Pit","8/21 9:55:10 am (CDT)","00 : 14","false","389.03","5.31","2.3","24","0","20.37","0"
"Test Pit","8/21 9:55:11 am (CDT)","00 : 15","false","388.12","5.79","2.5","24","0","20.54","0"
"Test Pit","8/21 9:55:12 am (CDT)","00 : 16","false","388.06","5.79","2.5","23.87","0","20.54","0"
"Test Pit","8/21 9:55:13 am (CDT)","00 : 17","false","388.4","7.61","3.29","23.87","0","20.54","0"
"Test Pit","8/21 9:55:15 am (CDT)","00 : 18","false","387.7","8.56","3.7","23.87","0","20.54","0"
